ITrust,contact@itrust.fr ,0.9230769230769231
MyPermissions,info@mypermissions.com,1.0
RhodeCode,info@rhodecode.com ,1.0
Rhebo,info@rhebo.com,1.0
MKACyber,info@mkacyber.com ,0.9411764705882353
Tangram Flex,hello@tangramflex.com ,0.9166666666666666
ThreatSTOP,support@threatstop.com ,1.0
CyberSense,info@cybersense360.com ,1.0
RevBits,info@revbits.com ,1.0
Chaitin Tech,info@chaitin.cn ,0.9166666666666666
Inquisitive Systems,info@inquisitive-systems.com ,0.9473684210526315
SecureSet,info@secureset.com ,0.9473684210526315
Ticto,info@ticto.com ,1.0
Baffin Bay Networks,hello@baffinbaynetworks.com,0.8947368421052632
CyCraft,contact@cycarrier.com ,1.0
Encoding.com,sales@encoding.com ,0.9166666666666666
Perch Security,info@perchsecurity.com,0.9285714285714286
CriticalBlue,enquiries@criticalblue.com ,1.0
Radio Physics Solutions,douglas@rpssys.com ,0.9130434782608695
Exonar,tellmemore@exonar.com ,0.75
StrongKey,info@strongkey.com ,0.631578947368421
Source Defense,info@sourcedefense.com ,0.9285714285714286
