Name,Email,Confidence,Status
﻿ITrust,contact@itrust.fr ,0.9230769230769231,New
MyPermissions,info@mypermissions.com,1.0,New
RhodeCode,info@rhodecode.com ,1.0,New
Rhebo,info@rhebo.com,1.0,In Contact
MKACyber,info@mkacyber.com ,0.9411764705882353,New
Tangram Flex,hello@tangramflex.com ,0.9166666666666666,New
ThreatSTOP,support@threatstop.com ,1.0,New
CyberSense,info@cybersense360.com ,1.0,New
RevBits,info@revbits.com ,1.0,New
Chaitin Tech,info@chaitin.cn ,0.9166666666666666,New
Inquisitive Systems,info@inquisitive-systems.com ,0.9473684210526315,New
SecureSet,info@secureset.com ,0.9473684210526315,New
Ticto,info@ticto.com ,1.0,New
Baffin Bay Networks,hello@baffinbaynetworks.com,0.8947368421052632,New
CyCraft,contact@cycarrier.com ,1.0,New
Encoding.com,sales@encoding.com ,0.9166666666666666,New
Perch Security,info@perchsecurity.com,0.9285714285714286,New
CriticalBlue,enquiries@criticalblue.com ,1.0,New
Radio Physics Solutions,douglas@rpssys.com ,0.9130434782608695,In Contact
Exonar,tellmemore@exonar.com ,0.75,In Contact
StrongKey,info@strongkey.com ,0.631578947368421,In Contact
Source Defense,info@sourcedefense.com ,0.9285714285714286,New
